epoch,acc,loss,val_acc,val_loss
0,0.10125,17.6563858986,0.1841796875,16.1874569297
1,0.260625,15.0321058655,0.3068359375,13.9456588268
2,0.327938403595,13.2151615621,0.3626953125,12.4152737737
3,0.38890625,11.8315012836,0.403515625,11.1880043149
4,0.420625,10.7080013275,0.4326171875,10.1737472534
5,0.50734375,9.46694717407,0.45390625,9.33491542339
6,0.5240625,8.65734743118,0.4646484375,8.60183039904
7,0.52625,8.01501347542,0.47109375,7.96061496139
8,0.52609375,7.47727289677,0.485546875,7.39105477929
9,0.53828125,6.90632434845,0.5025390625,6.84489279985
10,0.581238214997,6.2618847175,0.5005859375,6.38959819674
11,0.61234375,5.72982194901,0.5107421875,6.0192009449
12,0.5959375,5.45065939903,0.519921875,5.66195331812
13,0.5934375,5.15052070618,0.5240234375,5.31341127753
14,0.59203125,4.88870716572,0.52421875,5.02568782568
15,0.609522313011,4.52607816064,0.526953125,4.80022985935
16,0.6621875,4.14737491131,0.532421875,4.56130557656
17,0.623507228383,4.02306411358,0.5294921875,4.37835530937
18,0.63984375,3.84157876253,0.53125,4.21652728319
19,0.6153125,3.74733436346,0.5466796875,4.0229391247
20,0.626875,3.56369998455,0.5490234375,3.85267047584
21,0.68984375,3.21789411783,0.5544921875,3.73747686744
22,0.6696875,3.15760320902,0.5392578125,3.66004423499
23,0.6571875,3.09442101717,0.546484375,3.54383146167
24,0.6346875,3.07942831755,0.548828125,3.4275124222
25,0.643463230598,2.98229230417,0.5572265625,3.3277985245
26,0.70703125,2.69675019026,0.556640625,3.26389904916
27,0.6884375,2.6619931078,0.54921875,3.21624950767
28,0.671433061005,2.6807754353,0.54609375,3.20461550355
29,0.6540625,2.6543625617,0.5556640625,3.10209314227
30,0.64390625,2.63746548176,0.558984375,3.04071526229
31,0.70203125,2.43810771585,0.557421875,3.00200852454
32,0.71125,2.33557129145,0.5630859375,2.9756010592
33,0.6859375,2.39037420273,0.5505859375,2.95872448981
34,0.672532998152,2.40438695406,0.5595703125,2.91508051753
35,0.66,2.42624958277,0.5587890625,2.86817805767
36,0.68796875,2.3090492034,0.5634765625,2.83386999071
37,0.7184375,2.15687414527,0.5595703125,2.81534558237
38,0.700659962513,2.19456593815,0.5484375,2.83254058659
39,0.68171875,2.25732910395,0.5599609375,2.78961308599
40,0.68015625,2.25651496768,0.5560546875,2.78273337185
41,0.68046875,2.23430083632,0.5603515625,2.74153665304
42,0.73171875,2.04076738119,0.5623046875,2.73189794123
43,0.718125,2.07093244672,0.552734375,2.74382478595
44,0.6978125,2.11481172681,0.563671875,2.71813059151
45,0.694060339634,2.12513983497,0.5681640625,2.68733841777
46,0.67328125,2.18793010235,0.558984375,2.68101177812
47,0.75109375,1.9105751431,0.573046875,2.667271626
48,0.72515625,1.99459976673,0.5689453125,2.6555644691
49,0.7115625,2.04463734508,0.562890625,2.65927068889
50,0.693431803934,2.05989812261,0.5638671875,2.64528740644
51,0.685625,2.10653553247,0.56328125,2.64774035215
52,0.7321875,1.93850625277,0.5677734375,2.63019358218
53,0.72925832832,1.92545781564,0.5640625,2.63340851068
54,0.7190625,1.9750113368,0.5650390625,2.62804560959
55,0.700625,2.01798989415,0.5568359375,2.62612342834
56,0.68453125,2.04632096171,0.567578125,2.61141860187
57,0.725958516806,1.94101135495,0.571875,2.59670557976
0,0.5675,2.4335191071,0.4875,2.92377758175
1,0.536875,2.4587387681,0.47890625,2.87550956905
2,0.564375,2.47695391417,0.50078125,2.83801370412
3,0.569375,2.4532126081,0.5015625,2.75157496035
4,0.570625,2.43150603414,0.4875,2.81639005393
5,0.5425,2.51057676435,0.5609375,2.53728449196
6,0.5825,2.37748948336,0.53359375,2.58969626576
7,0.58,2.35165079355,0.5703125,2.50737277418
8,0.56,2.4216807127,0.56875,2.48974813819
9,0.57375,2.3949590528,0.56484375,2.46030349135
10,0.58,2.33173126817,0.575,2.34766796827
11,0.59,2.30504833937,0.5703125,2.36646069884
12,0.6025,2.23619588494,0.575,2.38821958452
13,0.573934837093,2.38407095751,0.5546875,2.39652402252
14,0.589375,2.31293795824,0.57734375,2.2746074155
15,0.595,2.25072658539,0.5859375,2.24241981879
16,0.569375,2.33602479935,0.60546875,2.26412309557
17,0.606875,2.19571889281,0.5765625,2.34041494653
18,0.611875,2.14693941474,0.5859375,2.27762287259
19,0.606875,2.13214346647,0.6078125,2.13273849934
20,0.621875,2.1674742198,0.6234375,2.09186206162
21,0.754375,1.51795994878,0.6296875,2.04204948992
22,0.744375,1.51851994634,0.64296875,2.03180805817
23,0.724375,1.55283985436,0.59375,2.21050949395
24,0.733125,1.5581496954,0.5953125,2.1580871053
25,0.726875,1.58028720319,0.62265625,2.04577117413
26,0.7175,1.61683649421,0.61640625,2.14719305634
27,0.718125,1.62473385692,0.6296875,2.1161981374
28,0.704375,1.66980366588,0.62421875,2.06362078935
29,0.703007519096,1.69418844902,0.5953125,2.20199725032
30,0.69625,1.73144636631,0.62109375,2.12607663944
31,0.696875,1.71533732653,0.6203125,2.1035610415
32,0.710625,1.65326348305,0.62265625,2.07272870317